date,ticker,open,high,low,close,volume
2026-01-06,AAPL,43.49,45.49,43.35,45.33,25289795
2026-01-06,MSFT,337.98,341.0,337.37,340.99,15254513
2026-01-06,NVDA,27.95,27.95,27.5,27.56,33498714
2026-01-06,GOOGL,93.59,94.44,93.51,93.65,18073798
2026-01-06,META,254.99,256.7,249.2,249.81,137152023
2026-01-06,AMZN,93.22,95.78,93.22,95.66,47264885
2026-01-06,CRM,103.39,106.97,101.99,105.82,39917021
2026-01-06,ORCL,108.35,110.53,108.27,110.52,32144104
2026-01-06,ADBE,393.9,393.9,388.94,389.92,214255653
2026-01-06,INTC,13.12,13.38,13.12,13.37,26566333
2026-01-06,JNJ,152.43,155.83,151.57,155.11,2775079
2026-01-06,UNH,651.39,654.2,634.79,638.85,69865802
2026-01-06,PFE,25.79,25.79,25.5,25.79,34347696
2026-01-06,ABBV,151.92,152.1,150.07,150.08,34730471
2026-01-06,MRK,107.96,109.32,106.9,107.98,131063378
2026-01-06,TMO,817.32,822.42,813.0,822.2,16350218
2026-01-06,JPM,53.91,54.29,53.79,54.01,53398051
2026-01-06,BAC,62.73,63.29,62.73,62.93,61713303
2026-01-06,GS,652.71,664.98,651.99,664.85,5388534
2026-01-06,MS,37.87,38.1,37.01,37.2,75316884
2026-01-06,BLK,409.55,411.3,408.24,410.54,15469367
2026-01-06,V,215.96,218.36,215.23,216.86,6381885
2026-01-06,PG,161.06,162.2,160.94,160.96,90873981
2026-01-06,KO,43.46,44.32,42.95,43.91,90134112
2026-01-06,PEP,187.95,195.41,186.54,192.47,151022695
2026-01-06,COST,387.25,390.7,384.11,389.24,42004276
2026-01-06,WMT,127.46,127.79,127.46,127.62,10463809
2026-01-06,MCD,317.18,318.16,309.73,309.91,40733161
2026-01-06,NKE,76.39,76.39,74.42,74.54,169591684
2026-01-06,SBUX,107.71,111.55,106.32,109.93,37073783
2026-01-06,XOM,23.21,23.29,22.15,22.16,109393910
2026-01-06,CVX,88.04,88.97,87.62,88.87,8661607
2026-01-06,COP,149.31,150.94,148.78,150.4,80067390
2026-01-06,SLB,28.27,29.48,27.87,29.37,12468286
2026-01-06,CAT,267.97,269.21,266.91,267.29,49764032
2026-01-06,BA,190.17,190.75,189.12,190.64,43371703
2026-01-06,UNP,138.37,138.75,138.29,138.39,12205258
2026-01-06,HON,171.32,171.94,169.08,169.47,44571465
2026-01-06,DE,245.54,247.09,243.25,244.22,21177995
2026-01-06,AMT,141.44,145.23,140.82,144.58,97763161
2026-01-06,NEE,53.99,54.97,53.6,54.79,93625337
2026-01-06,DUK,97.92,97.98,96.63,96.64,136900224
2026-01-06,SO,57.78,59.9,57.34,59.68,11602875
2026-01-06,LIN,349.16,349.7,342.5,343.88,7008080
2026-01-06,APD,417.34,419.22,415.45,416.1,19154851
2026-01-06,DIS,113.11,113.11,111.89,112.16,87423392
2026-01-06,NFLX,274.29,276.65,274.29,276.29,71555190
2026-01-06,T,19.99,20.0,19.67,19.72,56188064
2026-01-06,TMUS,64.47,64.73,64.04,64.47,38222761
2026-01-06,PYPL,29.67,29.67,29.09,29.1,41516967
