date,ticker,open,high,low,close,volume
2026-01-05,AAPL,43.84,43.99,43.72,43.78,31905577
2026-01-05,MSFT,343.22,346.41,335.5,337.4,14662753
2026-01-05,NVDA,28.12,28.27,27.83,27.94,33804466
2026-01-05,GOOGL,95.46,95.64,94.15,94.36,19067643
2026-01-05,META,255.34,256.87,253.33,254.42,160026374
2026-01-05,AMZN,95.29,96.38,93.29,93.38,60506770
2026-01-05,CRM,102.58,103.27,102.34,103.26,47683065
2026-01-05,ORCL,109.47,109.81,108.18,108.38,39637075
2026-01-05,ADBE,378.61,393.86,378.61,393.79,221475046
2026-01-05,INTC,12.88,13.17,12.68,13.12,30291513
2026-01-05,JNJ,156.62,157.32,152.01,152.8,3929573
2026-01-05,UNH,646.89,652.31,645.05,651.3,69744247
2026-01-05,PFE,25.83,25.83,25.72,25.74,36636889
2026-01-05,ABBV,152.03,152.16,151.16,152.09,42521453
2026-01-05,MRK,106.98,107.99,106.98,107.98,132736962
2026-01-05,TMO,798.85,814.74,794.72,814.48,19213605
2026-01-05,JPM,54.36,54.64,53.91,53.92,66492452
2026-01-05,BAC,60.87,62.86,60.6,62.75,75348319
2026-01-05,GS,643.04,654.63,640.23,652.1,5221515
2026-01-05,MS,37.76,37.76,37.69,37.72,88510394
2026-01-05,BLK,395.8,409.01,395.8,408.99,14061818
2026-01-05,V,225.77,226.69,215.26,215.3,8379773
2026-01-05,PG,160.59,162.06,159.19,161.76,96823054
2026-01-05,KO,43.11,43.59,43.11,43.49,90536505
2026-01-05,PEP,189.09,189.56,187.3,187.6,169389984
2026-01-05,COST,400.02,400.02,384.56,386.12,40285497
2026-01-05,WMT,127.79,128.18,126.59,127.7,12442408
2026-01-05,MCD,318.6,320.08,315.97,316.23,31515825
2026-01-05,NKE,78.57,80.18,76.09,76.3,192453206
2026-01-05,SBUX,107.6,108.16,107.18,107.75,30421397
2026-01-05,XOM,24.45,24.78,22.64,23.2,118068149
2026-01-05,CVX,87.67,87.81,87.64,87.8,9439607
2026-01-05,COP,144.63,149.57,144.49,149.47,90427910
2026-01-05,SLB,28.66,29.54,28.08,28.19,10908619
2026-01-05,CAT,262.22,269.99,262.22,268.92,62073729
2026-01-05,BA,190.44,191.32,189.11,189.55,47285725
2026-01-05,UNP,139.21,139.21,138.44,138.58,12163383
2026-01-05,HON,176.35,176.91,171.22,171.75,41721114
2026-01-05,DE,251.03,252.27,245.42,246.17,18848009
2026-01-05,AMT,141.21,141.31,141.2,141.26,160628895
2026-01-05,NEE,54.09,54.67,53.14,53.61,72725133
2026-01-05,DUK,96.37,97.94,96.37,97.47,138894193
2026-01-05,SO,58.16,58.22,57.49,57.65,10782042
2026-01-05,LIN,348.65,351.55,347.25,348.45,7161564
2026-01-05,APD,411.26,417.44,411.26,416.57,17913011
2026-01-05,DIS,112.79,113.1,112.28,112.95,90798225
2026-01-05,NFLX,274.61,274.9,272.71,274.3,67895087
2026-01-05,T,20.43,20.48,19.94,19.97,83667775
2026-01-05,TMUS,64.96,65.42,64.32,64.56,31916481
2026-01-05,PYPL,28.97,29.77,28.75,29.65,39008488
