date,ticker,open,high,low,close,volume
2026-01-02,AAPL,44.49,44.85,43.66,43.91,34881146
2026-01-02,MSFT,338.54,346.03,336.72,344.04,19723060
2026-01-02,NVDA,28.7,28.7,28.1,28.22,37535955
2026-01-02,GOOGL,95.66,95.66,95.6,95.63,22048201
2026-01-02,META,258.57,258.57,255.13,255.59,154121672
2026-01-02,AMZN,95.96,97.5,93.79,95.64,73314525
2026-01-02,CRM,103.67,104.74,102.1,102.41,53990133
2026-01-02,ORCL,108.15,109.42,108.15,109.42,33999081
2026-01-02,ADBE,382.26,382.29,377.91,379.13,291876788
2026-01-02,INTC,12.69,12.92,12.62,12.91,27490630
2026-01-02,JNJ,159.42,162.2,155.85,156.81,4334205
2026-01-02,UNH,634.44,647.25,634.44,646.56,62810620
2026-01-02,PFE,26.31,26.38,25.72,25.79,32655749
2026-01-02,ABBV,155.01,155.05,151.32,152.02,40857837
2026-01-02,MRK,106.56,107.03,106.14,106.99,122252642
2026-01-02,TMO,783.94,797.13,783.19,797.06,20183325
2026-01-02,JPM,55.39,55.5,54.53,54.63,45943517
2026-01-02,BAC,60.21,61.35,59.69,60.76,91394485
2026-01-02,GS,649.64,658.97,637.97,642.78,5444758
2026-01-02,MS,38.81,38.81,37.46,37.73,73248998
2026-01-02,BLK,422.74,424.13,394.89,395.86,15776952
2026-01-02,V,221.59,226.95,221.59,226.62,8346383
2026-01-02,PG,164.89,165.55,158.17,159.31,101660224
2026-01-02,KO,42.82,43.14,42.81,43.13,97364314
2026-01-02,PEP,189.23,189.43,188.23,189.38,213130059
2026-01-02,COST,392.18,400.24,390.52,399.29,34307859
2026-01-02,WMT,127.62,129.0,126.25,128.16,16123774
2026-01-02,MCD,317.01,319.74,316.98,319.53,34286636
2026-01-02,NKE,77.25,79.26,76.02,78.45,173624809
2026-01-02,SBUX,109.55,109.55,107.38,107.68,46511725
2026-01-02,XOM,24.59,24.68,24.4,24.44,107003956
2026-01-02,CVX,86.07,87.78,85.81,87.78,9186225
2026-01-02,COP,142.49,146.75,141.73,144.53,89130545
2026-01-02,SLB,29.45,29.75,27.97,28.72,11857676
2026-01-02,CAT,262.91,265.44,261.85,262.4,53776227
2026-01-02,BA,195.47,196.61,190.15,190.35,36759930
2026-01-02,UNP,139.81,140.2,139.14,139.17,11722974
2026-01-02,HON,176.35,176.97,176.35,176.87,36831526
2026-01-02,DE,253.79,255.51,247.37,251.47,16817534
2026-01-02,AMT,143.58,143.71,140.5,141.28,123348939
2026-01-02,NEE,54.55,54.9,54.19,54.44,80697065
2026-01-02,DUK,97.3,97.52,96.23,96.39,122160675
2026-01-02,SO,59.23,59.23,57.43,58.22,11231511
2026-01-02,LIN,352.37,354.51,349.68,350.05,8738036
2026-01-02,APD,410.86,412.18,410.44,412.02,17665178
2026-01-02,DIS,113.0,114.95,110.68,112.61,95619471
2026-01-02,NFLX,265.82,273.26,265.82,272.84,58756058
2026-01-02,T,20.54,20.54,20.41,20.42,74990845
2026-01-02,TMUS,65.37,65.68,65.17,65.2,32043288
2026-01-02,PYPL,28.47,29.08,28.44,28.99,40585010
