date,ticker,open,high,low,close,volume
2026-01-07,AAPL,45.17,47.05,45.17,46.53,21972439
2026-01-07,MSFT,341.94,342.06,340.92,341.54,14701102
2026-01-07,NVDA,27.6,27.7,27.56,27.68,30490250
2026-01-07,GOOGL,93.5,93.85,91.25,91.36,18926767
2026-01-07,META,250.27,250.27,246.95,247.75,158343164
2026-01-07,AMZN,95.77,98.56,95.62,98.12,57416982
2026-01-07,CRM,106.37,107.27,104.35,106.67,41158971
2026-01-07,ORCL,110.33,111.66,110.33,111.65,25390849
2026-01-07,ADBE,388.49,392.31,386.51,387.44,321640712
2026-01-07,INTC,13.35,13.52,13.28,13.52,26303439
2026-01-07,JNJ,155.28,155.57,152.06,152.1,1656614
2026-01-07,UNH,637.14,641.67,634.5,634.76,84727334
2026-01-07,PFE,25.74,25.83,25.14,25.23,32280062
2026-01-07,ABBV,150.36,150.59,149.57,150.4,37785629
2026-01-07,MRK,108.07,108.29,105.32,105.68,112305522
2026-01-07,TMO,822.19,837.87,822.19,837.84,22286314
2026-01-07,JPM,53.98,54.33,53.35,53.69,59023581
2026-01-07,BAC,62.8,62.99,62.43,62.51,60422077
2026-01-07,GS,660.26,668.86,642.78,663.92,5735182
2026-01-07,MS,37.27,37.73,36.93,37.55,74421573
2026-01-07,BLK,410.76,412.71,401.65,402.46,14337907
2026-01-07,V,216.84,219.18,214.51,217.01,4486806
2026-01-07,PG,159.97,161.2,155.74,156.09,85816482
2026-01-07,KO,43.96,43.99,41.91,41.94,78427105
2026-01-07,PEP,192.08,192.79,191.11,191.69,181917550
2026-01-07,COST,388.94,397.86,387.93,397.82,50744173
2026-01-07,WMT,127.7,127.7,123.73,124.04,11603909
2026-01-07,MCD,310.94,310.94,305.38,306.1,40982163
2026-01-07,NKE,74.55,76.37,74.05,75.56,175301232
2026-01-07,SBUX,110.35,116.44,109.01,114.79,35916022
2026-01-07,XOM,22.16,22.16,22.08,22.08,74960569
2026-01-07,CVX,89.12,89.12,86.9,87.78,7569059
2026-01-07,COP,150.83,153.23,150.14,152.13,83337902
2026-01-07,SLB,29.31,29.58,28.87,28.92,12561994
2026-01-07,CAT,267.52,267.52,265.16,265.19,58937268
2026-01-07,BA,190.78,198.24,189.74,193.65,39856507
2026-01-07,UNP,138.49,138.49,136.11,136.28,14209783
2026-01-07,HON,169.28,169.92,166.06,166.71,51698110
2026-01-07,DE,245.85,251.23,244.16,251.19,23746641
2026-01-07,AMT,144.88,145.16,142.92,142.93,127144816
2026-01-07,NEE,54.7,55.98,54.55,55.65,131843900
2026-01-07,DUK,96.56,96.65,95.54,96.04,115515026
2026-01-07,SO,59.56,59.81,59.26,59.66,10775156
2026-01-07,LIN,343.05,344.99,337.43,338.89,6306648
2026-01-07,APD,416.21,417.18,398.44,401.96,16104546
2026-01-07,DIS,112.54,113.14,108.21,108.52,92041950
2026-01-07,NFLX,275.81,277.52,273.23,273.36,79950879
2026-01-07,T,19.71,19.73,19.46,19.46,58369825
2026-01-07,TMUS,64.5,64.5,64.35,64.41,41108562
2026-01-07,PYPL,28.99,29.11,28.9,28.9,34950932
